,Tg,Tk,n,Damage_e6
527,1447.205,574.732,15324.276,0.777716429406
528,1460.339,581.844,15400.84,1.411792348378
529,1473.729,588.772,15471.888,2.527461075801
530,1487.151,595.647,15541.436,4.395731490492
531,1500.54,602.504,15610.6,7.644968063409
532,1513.896,609.342,15679.392,13.053457010774
533,1527.222,616.163,15747.815,22.093078716543
534,1540.517,622.967,15815.87,37.073164624439
535,1553.78,629.752,15883.551,61.505678975676
536,1567.012,636.52,15950.875,101.519676753483
537,1580.215,643.272,16017.85,164.847520102285
538,1593.388,650.007,16084.472,265.66914679827
539,1606.531,656.724,16150.732,426.213871973873
540,1221.996,455.542,14065.389,5.356062e-06
541,1236.118,462.771,14142.362,1.243327e-05
542,1250.197,469.982,14218.952,2.8789167e-05
543,1264.24,477.176,14295.17,6.4826159e-05
544,1278.243,484.353,14371.013,0.000142239562
545,1292.207,491.513,14446.484,0.000307162354
546,1306.134,498.654,14521.569,0.00065312888
547,1320.023,505.779,14596.288,0.001368078122
548,1333.874,512.885,14670.623,0.002802976642
549,1347.688,519.974,14744.586,0.005663786933
550,1361.112,527.186,14822.676,0.011373551773
551,1374.444,534.403,14901.106,0.022463494353
552,1387.73,541.603,14979.197,0.043938400672
553,1400.984,548.791,15056.996,0.083970295807
554,1414.216,555.97,15134.546,0.157999508676
555,1427.479,563.144,15212.212,0.29391658655
556,1440.739,570.309,15289.721,0.544533032364
557,1453.966,577.459,15366.91,1.0046268579
558,1467.341,584.478,15440.233,1.797985685961
559,1480.846,591.387,15510.318,3.205274238094
560,1494.317,598.278,15580.015,5.586210328293
561,1507.756,605.15,15649.333,9.587847392612
562,1521.163,612.005,15718.276,16.457613250794
563,1534.538,618.842,15786.844,27.749303496483
564,1547.882,625.662,15855.04,46.392676752151
565,1561.193,632.463,15922.864,76.691448030232
566,1574.475,639.247,15990.328,126.139389676794
567,1587.726,646.014,16057.433,205.240884734617
568,1600.948,652.764,16124.194,329.64786768299
569,1614.139,659.497,16190.604,528.574108075776
570,1228.038,457.789,14099.673,7.137523e-06
571,1242.212,465.038,14176.873,1.6576031e-05
572,1256.347,472.269,14253.705,3.8079295e-05
573,1270.443,479.483,14330.149,8.5954521e-05
574,1284.499,486.68,14406.217,0.000187518395
575,1298.517,493.859,14481.908,0.000405900698
576,1312.498,501.02,14557.221,0.000858290122
577,1326.439,508.163,14632.148,0.001788134825
578,1340.344,515.289,14706.702,0.003644636184
579,1354.002,522.482,14783.582,0.007381440036
580,1367.426,529.738,14862.677,0.014805742516
581,1380.812,536.979,14941.428,0.029302592081
582,1394.161,544.204,15019.849,0.056420648944
583,1407.478,551.419,15097.996,0.108464831339
584,1420.797,558.624,15176.081,0.203143547585
585,1434.123,565.819,15254.104,0.378671027871
586,1447.436,573.006,15331.894,0.703252086776
587,1460.788,580.118,15407.608,1.278892251208
588,1474.375,587.062,15478.224,2.28579808759
589,1487.931,593.988,15548.47,4.03313217868
590,1501.451,600.895,15618.317,7.044101640984
591,1514.94,607.784,15687.787,12.115280678265
592,1528.396,614.655,15756.869,20.594564088141
593,1541.82,621.507,15825.582,34.796764518142
594,1555.213,628.343,15893.923,57.962487855695
595,1568.574,635.16,15961.893,96.008977669059
